Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
3-phosphoinositide Biosynthesis;0,00;0,35;0,00;0,22;1,05;0,59;1,16;2,33;0,72;1,25;0,53;1,71;2,15;0,00;0,00;0,61
3-phosphoinositide Degradation;0,00;0,39;0,30;0,24;0,41;0,47;0,90;1,46;0,41;0,62;0,28;1,53;1,75;0,00;0,00;0,63
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis;0,00;0,42;0,37;0,25;0,49;0,62;1,14;1,82;0,44;0,83;0,40;1,80;2,25;0,25;0,00;0,77
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis;0,00;0,42;0,37;0,25;0,49;0,62;1,14;1,82;0,44;0,83;0,40;1,80;2,25;0,25;0,00;0,77
Retinoate Biosynthesis I;0,00;0,00;0,90;0,00;0,59;0,00;0,37;0,00;0,00;0,26;0,35;0,44;0,32;3,21;2,23;1,29
rRNA processing;0,00;0,00;0,36;0,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,76;0,62;0,82
Binding and Uptake of Ligands by Scavenger Receptors;0,00;0,00;0,41;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,37;0,00;0,00;2,65;1,20;0,77
GDP-mannose Biosynthesis;0,00;3,12;0,62;1,58;1,65;0,30;0,00;0,23;0,00;0,23;0,26;0,00;0,00;0,00;1,46;0,49
Spermine Biosynthesis;0,00;1,84;0,00;0,00;1,10;0,00;0,00;0,00;0,00;0,59;0,00;0,44;1,41;0,00;0,00;0,91
D-mannose Degradation;0,00;2,14;0,00;0,00;1,39;0,96;0,00;0,00;0,00;0,00;0,91;0,00;0,71;0,00;0,00;0,00
Phenylalanine Degradation I (Aerobic);0,00;1,54;0,00;0,00;2,02;1,22;0,00;0,35;0,39;0,35;1,11;0,73;1,59;0,00;0,00;0,64
Tyrosine Biosynthesis IV;0,00;1,67;0,00;0,00;2,31;0,54;0,00;0,00;0,00;0,00;0,48;0,31;1,00;0,00;0,00;0,75
Amyloid fiber formation;0,00;0,39;0,96;1,37;0,75;0,00;0,00;0,00;0,00;0,39;0,00;0,52;0,00;0,48;1,91;1,40
NGF processing;0,00;0,00;0,77;1,75;0,81;0,00;0,00;1,02;0,39;1,03;0,38;0,23;0,23;0,00;1,83;1,66
Antigen Presentation Pathway;0,00;0,00;2,80;0,00;0,00;0,00;0,28;0,00;0,47;0,56;0,00;0,00;0,00;0,00;1,86;1,47
Surfactant metabolism;0,00;0,00;1,74;0,00;0,21;0,34;0,00;0,00;0,00;0,00;0,83;0,00;0,00;0,51;0,48;0,37
Regulation of TP53 Activity through Association with Co-factors;0,00;0,00;1,64;0,00;0,96;0,34;0,28;0,22;0,62;0,53;0,27;0,25;0,27;0,69;0,00;0,22
Phase II - Conjugation of compounds;0,00;0,00;1,99;0,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,35;1,03;0,89;1,23
B-WICH complex positively regulates rRNA expression;0,00;0,00;2,08;0,68;0,00;0,00;0,00;0,00;0,35;0,38;0,32;0,00;0,35;0,00;0,56;1,36
GDP-L-fucose Biosynthesis I (from GDP-D-mannose);0,00;0,00;2,69;0,00;0,00;0,69;0,64;0,00;0,64;0,00;0,00;1,39;1,41;0,00;0,00;0,91
Fc epsilon receptor (FCERI) signaling;0,00;0,00;3,80;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,51;0,73;0,00;0,43;0,81
Energy dependent regulation of mTOR by LKB1-AMPK;0,00;0,00;2,80;0,00;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,66;1,01;0,00;0,73;1,48
Oxidized GTP and dGTP Detoxification;0,00;0,00;1,94;0,00;0,81;0,00;0,00;0,35;0,00;0,00;0,00;0,73;0,76;0,00;0,72;0,64
Thiosulfate Disproportionation III (Rhodanese);0,00;0,00;2,23;0,00;0,00;0,00;0,00;0,00;0,49;0,00;0,00;0,97;1,00;0,00;0,83;0,00
Mitochondrial protein import;0,00;0,00;1,61;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,00;1,61;0,58;0,00;2,28;1,32
Mitophagy;0,00;0,00;1,99;0,00;0,91;0,00;0,83;0,00;0,30;0,41;0,00;1,19;1,26;0,00;1,76;0,93
Signaling by CSF3 (G-CSF);0,00;0,00;2,72;0,00;0,91;0,00;0,83;0,39;0,00;0,00;0,28;1,56;0,93;0,41;1,18;1,42
D-glucuronate Degradation I;0,00;0,00;0,77;0,00;0,00;0,00;0,00;0,00;0,39;0,00;0,38;1,55;1,59;0,00;0,72;1,66
Nucleotide Excision Repair Pathway;0,00;0,00;0,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,10;0,88;0,00;0,99;2,26
Spermidine Biosynthesis I;0,00;0,00;1,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,39;1,41;0,00;0,00;0,91
Amino acids regulate mTORC1;0,00;0,00;1,95;0,00;0,73;0,00;0,29;0,00;0,00;0,00;0,27;1,40;1,51;0,23;0,82;1,25
mRNA Capping;0,00;0,00;1,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,28;1,36;0,00;0,73;1,48
Processing of SMDT1;0,00;0,00;1,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,62;0,00;0,85;1,35
Reversible hydration of carbon dioxide;2,01;0,00;0,00;1,28;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,27
Generic Transcription Pathway;1,32;0,00;0,00;0,52;0,00;0,00;0,53;0,49;0,39;0,56;0,00;0,00;0,00;0,00;0,00;0,00
Neurotransmitter receptors and postsynaptic signal transmission;2,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Triglyceride metabolism;1,56;0,66;0,34;0,00;0,00;0,29;0,00;0,00;0,00;0,00;0,61;0,00;0,00;0,37;0,00;0,00
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA);0,00;0,71;0,62;0,00;0,51;0,48;0,41;2,30;0,00;0,45;0,27;0,61;0,70;0,00;0,45;1,02
Transcriptional Regulation by E2F6;0,00;0,00;0,34;0,00;0,00;0,80;1,33;1,05;0,00;0,50;0,61;0,88;0,29;0,00;0,28;1,74
Fanconi Anemia Pathway;0,00;0,00;0,61;0,00;0,33;0,95;1,08;1,51;1,08;0,00;0,00;0,65;0,00;0,00;0,51;0,66
4-aminobutyrate Degradation I;0,00;0,00;0,00;0,00;0,00;0,54;0,49;1,28;0,49;1,29;1,37;0,31;0,32;0,00;0,00;0,00
RHO GTPases activate KTN1;0,00;0,00;0,00;0,00;0,43;0,00;0,00;0,73;0,00;0,74;1,42;0,41;0,43;0,00;0,36;0,29
Ketone body metabolism;0,00;0,00;0,00;0,00;0,47;0,00;0,46;1,41;0,00;0,84;1,57;0,00;0,94;0,00;0,00;0,89
DNA Double-Strand Break Repair by Homologous Recombination;0,00;0,00;0,00;0,00;0,96;0,34;0,00;1,46;0,28;0,53;0,00;0,51;0,54;0,00;0,28;0,22
SUMOylation of DNA damage response and repair proteins;0,00;0,00;0,00;0,00;0,70;0,00;0,00;1,84;0,00;0,83;0,00;0,00;0,00;0,00;0,00;0,00
SUMOylation of immune response proteins;0,00;0,00;0,40;0,00;1,14;0,00;0,00;1,95;0,00;1,29;0,00;0,00;0,00;0,00;0,00;0,00
FasL/ CD95L signaling;0,00;0,00;0,00;0,00;0,00;0,36;0,32;1,67;0,32;0,85;0,31;0,00;0,18;0,00;0,00;0,00
SUMOylation of DNA replication proteins;0,00;0,00;0,00;0,00;0,55;0,68;0,33;1,77;0,33;1,44;0,49;0,00;0,00;0,00;0,00;0,00
Arginine Degradation VI (Arginase 2 Pathway);0,00;1,30;0,56;0,00;1,51;0,26;1,37;0,60;0,22;1,24;0,67;0,37;0,38;0,97;0,00;0,00
Effects of PIP2 hydrolysis;0,00;0,00;0,92;0,00;1,64;0,79;1,00;0,79;0,38;0,52;0,62;0,33;0,57;0,45;0,80;0,29
G alpha (z) signalling events;0,00;0,53;1,20;0,00;1,34;0,37;0,44;0,67;0,00;1,26;0,25;0,43;0,00;0,00;0,35;0,00
L-glutamine Biosynthesis II (tRNA-dependent);0,00;0,00;0,00;0,00;1,10;0,00;0,64;0,00;0,00;1,73;0,63;0,44;0,45;0,00;0,00;0,00
Interleukin-20 family signaling;0,00;0,00;0,48;0,00;1,69;0,00;0,69;0,00;0,00;0,00;0,39;0,00;0,00;0,46;0,00;0,00
SUMOylation of transcription factors;0,00;0,00;0,22;0,00;1,33;0,43;0,00;0,53;0,00;0,28;0,63;0,42;0,24;0,00;0,00;0,00
Epithelial-Mesenchymal Transition (EMT) during gastrulation;0,00;0,00;0,00;0,00;1,51;0,00;0,22;0,19;0,00;0,19;0,22;0,00;0,00;0,00;0,00;0,00
OAS antiviral response;0,00;0,00;0,00;0,00;1,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00
Arginine Degradation I (Arginase Pathway);0,00;1,45;0,69;0,00;0,72;0,00;0,32;0,28;0,00;0,28;0,31;0,00;0,00;0,00;0,00;0,00
Lipoate Biosynthesis and Incorporation II;0,00;1,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes);0,00;1,45;0,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,56
Miro GTPase Cycle;0,00;0,00;0,00;1,45;0,00;0,67;0,60;0,00;0,60;0,00;0,18;0,68;0,00;0,00;0,00;0,00
Prednisone ADME;0,00;0,00;0,47;1,40;0,00;0,19;0,00;0,00;0,00;0,00;0,51;0,00;0,00;0,00;0,00;0,35
Sucrose Degradation V (Mammalian);0,00;1,20;0,47;1,40;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,35
Maturity Onset Diabetes of Young (MODY) Signaling;0,00;0,95;0,55;1,31;0,00;0,31;0,30;0,00;0,30;0,28;0,00;0,00;0,00;0,00;0,00;0,25
Vasopressin regulates renal water homeostasis via Aquaporins;0,00;1,41;0,24;0,00;0,59;0,30;0,58;0,41;0,37;0,65;0,80;1,10;0,00;0,00;0,00;0,00
G alpha (q) signalling events;0,00;0,87;0,00;0,26;0,54;0,36;0,33;0,52;0,78;1,12;1,37;0,00;0,00;0,51;0,00;0,00
Th2 Pathway;0,00;1,73;0,00;0,33;0,68;0,47;0,61;0,43;0,37;0,59;1,03;0,42;0,62;1,60;0,37;0,42
Urea Cycle;0,00;1,30;0,56;0,00;0,60;0,26;0,22;0,60;0,00;0,61;1,34;0,37;0,00;0,97;0,51;0,44
Superpathway of Citrulline Metabolism;0,00;0,96;0,80;0,00;0,31;0,28;0,22;0,41;0,00;0,42;0,89;0,00;0,00;0,64;1,34;0,57
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs);0,00;1,15;0,00;1,36;0,00;0,53;0,95;0,38;0,46;0,39;0,44;0,48;0,51;0,82;0,39;0,89
Rapoport-Luebering Glycolytic Shunt;0,00;1,54;0,00;1,75;0,81;0,43;1,13;0,00;0,39;0,35;1,11;1,55;0,76;1,20;0,00;0,64
Cellular hexose transport;0,00;0,83;0,00;1,03;1,23;0,00;0,56;0,44;0,56;0,00;0,28;0,33;0,60;1,32;0,50;0,00
GDP-glucose Biosynthesis;0,00;1,11;0,00;1,32;1,14;0,47;0,00;0,33;0,00;0,74;0,00;0,00;0,00;0,79;0,97;0,29
Pyruvate Fermentation to Lactate;0,00;1,37;0,00;1,58;0,65;0,00;0,27;0,00;0,27;0,23;0,00;0,00;0,00;1,03;0,57;0,49
GP1b-IX-V activation signalling;0,00;0,00;0,00;0,00;0,40;0,00;0,36;0,00;0,36;0,00;0,74;1,12;1,17;1,81;0,33;0,27
Intrinsic Prothrombin Activation Pathway;1,47;0,00;0,00;0,77;0,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,52;0,00;0,00
FAK Signaling;0,67;0,00;0,00;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,50;0,00;0,00
Triacylglycerol Degradation;1,33;0,00;0,00;0,00;0,00;0,35;0,00;0,00;0,00;0,00;0,36;0,00;0,00;1,18;0,24;0,00
Pregnenolone Biosynthesis;0,00;0,00;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,45;0,28;0,00;0,00;1,32;0,00;0,00
Platelet Aggregation (Plug Formation);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31;0,30;0,31;1,75;0,30;0,24
Anandamide Degradation;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31;0,32;1,32;0,83;0,75
Retinol Biosynthesis;0,00;0,00;0,44;0,00;0,23;0,00;0,00;0,00;0,27;0,00;0,41;0,29;0,00;1,38;0,63;0,74
L-dopachrome Biosynthesis;0,00;0,00;0,00;0,00;1,10;0,00;0,00;0,59;0,64;0,59;0,63;0,44;0,45;1,50;1,00;0,91
Glutamate and glutamine metabolism;0,00;0,00;0,32;0,00;0,35;0,34;1,10;0,52;0,62;0,53;0,27;0,51;0,91;0,69;1,49;0,66
Pentose Phosphate Pathway (Non-oxidative Branch);0,00;0,00;0,62;0,00;0,65;0,30;0,27;0,00;0,27;0,00;0,26;0,46;0,00;1,03;1,46;1,30
The Visual Cycle;0,00;0,00;1,04;0,00;0,59;0,31;0,48;0,00;0,24;0,00;0,46;0,45;0,76;1,25;1,49;1,21
RHO GTPases activate PAKs;0,00;0,00;1,18;0,00;0,23;0,73;0,99;0,81;0,99;0,50;0,58;0,37;0,66;1,35;0,53;1,40
Tyrosine Degradation I;0,00;0,00;0,69;0,00;0,00;1,03;0,32;0,00;0,32;0,00;0,31;0,57;0,59;1,11;0,00;1,46
Diphthamide Biosynthesis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,48;0,00;0,32;1,32;0,83;1,94
D-myo-inositol (1,4,5)-trisphosphate Degradation;0,00;0,00;0,28;0,00;0,00;0,00;0,00;0,41;0,51;0,00;0,00;0,68;0,41;0,64;0,00;1,81
Threonine catabolism;0,00;0,00;0,77;0,00;0,00;0,00;0,00;0,35;0,00;0,00;0,38;0,23;0,76;0,00;0,72;1,66
Assembly and cell surface presentation of NMDA receptors;0,00;0,00;0,90;0,00;1,52;2,80;1,52;1,18;0,84;1,22;1,10;1,41;1,86;0,30;0,00;0,00
RHO GTPases activate IQGAPs;0,00;0,00;2,64;0,00;0,88;2,35;1,55;1,67;0,77;0,92;1,08;1,86;1,96;0,40;0,00;0,23
Crosstalk between Dendritic Cells and Natural Killer Cells;0,00;0,31;2,11;0,00;0,77;1,75;1,34;0,56;1,33;1,43;0,62;0,00;0,49;0,74;0,49;0,45
Carboxyterminal post-translational modifications of tubulin;1,44;0,00;0,85;0,00;1,45;1,69;1,05;1,07;0,33;0,58;0,49;0,74;0,59;0,29;0,00;0,00
γ-glutamyl Cycle;0,00;0,00;1,00;0,00;1,94;1,48;0,77;0,00;0,76;0,30;0,35;0,67;1,17;0,00;0,00;0,00
Translocation of SLC2A4 (GLUT4) to the plasma membrane;0,00;0,00;1,40;0,00;2,08;0,84;1,35;1,22;0,44;0,79;0,58;0,95;1,54;0,00;0,00;0,00
Pentose phosphate pathway;0,00;1,30;0,56;0,00;1,51;1,50;0,69;0,19;0,69;0,19;1,34;1,46;0,85;0,97;1,33;1,17
Phenylalanine and tyrosine metabolism;0,00;1,11;0,40;0,00;0,43;1,61;0,40;0,00;0,85;0,00;0,83;1,91;1,33;0,79;0,00;1,55
Leucine Degradation I;0,00;0,00;0,47;0,00;0,50;1,19;0,52;0,00;0,00;0,45;1,75;0,57;1,74;0,87;0,42;1,80
Pentose Phosphate Pathway;0,00;0,00;1,07;0,00;1,14;0,96;0,40;0,00;0,40;0,00;0,83;1,28;0,82;0,79;1,79;2,44
Gαi Signaling;0,00;2,45;0,00;0,00;0,67;0,91;0,74;0,66;0,90;1,03;1,63;1,34;1,33;0,00;0,00;0,28
Thrombin signalling through proteinase activated receptors (PARs);0,00;1,65;0,00;0,87;0,85;0,58;1,47;1,58;1,92;1,62;1,41;2,18;1,44;0,00;0,31;0,00
G Beta Gamma Signaling;0,00;1,84;0,28;0,00;0,80;0,63;1,20;0,92;1,65;1,37;1,11;1,87;1,23;0,00;0,00;0,37
Lactose synthesis;0,00;1,67;0,00;1,87;0,93;1,48;1,39;1,28;1,39;1,29;1,37;0,97;1,00;0,00;0,00;0,00
Glycogen Degradation III;0,00;1,05;0,35;1,25;1,01;1,35;1,20;0,26;0,69;0,59;1,17;0,99;1,56;0,72;0,85;0,24
Glycogen Degradation II;0,00;1,11;0,40;1,32;1,14;1,61;1,45;0,33;0,85;0,74;1,42;0,78;1,33;0,79;0,97;0,29
Rap1 signalling;0,00;0,00;0,80;1,16;0,31;0,28;0,51;0,41;0,92;0,42;1,40;0,39;0,72;0,00;0,24;0,57
Glutathione-mediated Detoxification;0,00;0,00;1,05;0,81;0,33;1,32;1,88;1,15;1,08;0,38;1,40;0,89;0,96;0,00;0,23;1,05
Ascorbate Recycling (Cytosolic);0,00;0,00;0,89;1,87;0,00;1,48;1,39;1,28;1,39;1,29;1,37;0,97;0,32;0,00;0,83;0,75
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors;0,00;0,00;0,31;1,95;0,74;0,72;0,57;2,12;1,19;1,72;0,54;1,02;0,82;0,00;0,95;1,13
Glutathione Redox Reactions II;0,00;0,00;0,00;1,75;0,00;1,22;1,13;1,02;2,18;1,03;1,11;0,73;0,76;0,00;0,00;0,00
Ephrin A Signaling;0,00;0,00;0,00;1,69;0,49;0,55;0,87;1,49;1,17;1,91;1,12;0,75;0,62;0,26;0,00;0,00
N-acetylglucosamine Degradation I;0,00;0,00;0,00;1,87;0,93;1,48;1,39;2,58;1,39;1,29;1,37;0,97;1,00;0,00;0,00;0,00
N-acetylglucosamine Degradation II;0,00;0,00;0,00;1,75;0,81;1,22;1,13;2,02;1,12;1,03;1,11;0,73;0,76;0,00;0,00;0,00
Gamma carboxylation, hypusine formation and arylsulfatase activation;0,00;0,00;0,55;0,00;0,00;1,54;0,65;0,00;1,65;0,31;1,21;0,72;2,07;1,55;0,00;0,32
Platelet Adhesion to exposed collagen;0,00;0,00;0,84;0,00;0,00;0,66;0,57;0,46;1,00;0,47;1,52;1,72;2,43;1,63;0,26;0,61
Triacylglycerol Biosynthesis;0,00;0,48;0,00;0,00;0,39;0,59;1,15;1,40;2,21;0,64;1,74;1,62;1,74;0,22;0,00;0,00
Phosphatidylglycerol Biosynthesis II (Non-plastidic);0,00;0,71;0,00;0,00;0,00;0,66;0,83;1,33;0,82;0,41;2,06;1,19;2,59;0,41;0,34;0,24
CDP-diacylglycerol Biosynthesis I;0,00;0,73;0,00;0,00;0,00;0,74;0,94;1,08;0,93;0,48;1,75;1,38;2,38;0,44;0,37;0,27
Tetrahydrobiopterin Biosynthesis I;0,00;0,00;0,00;0,00;0,00;1,48;0,49;0,00;0,49;0,45;1,37;2,08;2,12;0,00;0,00;0,75
Tetrahydrobiopterin Biosynthesis II;0,00;0,00;0,00;0,00;0,00;1,48;0,49;0,00;0,49;0,45;1,37;2,08;2,12;0,00;0,00;0,75
Stearate Biosynthesis I (Animals);0,00;0,00;0,00;0,00;0,78;1,10;1,66;0,28;0,62;0,79;1,90;1,97;1,05;0,00;0,00;0,00
Mitochondrial L-carnitine Shuttle Pathway;0,00;0,00;0,23;0,00;0,74;0,84;0,72;0,30;0,38;0,31;1,62;1,61;1,21;0,00;0,00;0,00
Fatty Acid Activation;0,00;0,00;0,30;0,00;0,33;1,15;1,00;0,00;0,25;0,00;2,17;1,72;1,25;0,00;0,00;0,20
Pyrimidine Ribonucleotides Interconversion;0,00;1,47;0,27;0,78;0,65;0,58;0,26;0,00;0,26;0,00;0,93;2,06;1,78;0,00;0,47;0,33
Pyrimidine Ribonucleotides De Novo Biosynthesis;0,00;1,41;0,24;0,76;0,59;0,49;0,00;0,00;0,00;0,00;0,80;1,75;1,51;0,00;0,42;0,29
GPER1 signaling;0,00;1,38;0,48;0,74;0,95;0,44;1,05;0,55;0,52;0,82;1,00;1,92;0,59;0,00;0,70;0,26
Dopamine Receptor Signaling;0,00;0,94;0,54;0,00;0,38;1,05;0,29;0,67;0,29;0,91;1,17;1,88;1,04;0,00;0,00;0,00
MAPK targets/ Nuclear events mediated by MAP kinases;0,00;0,67;0,36;0,00;0,82;0,85;0,69;0,79;0,68;0,81;0,65;1,63;1,02;0,00;0,00;0,00
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis;0,00;0,00;0,27;0,00;0,29;0,25;0,84;0,70;1,33;0,00;0,45;0,96;0,64;0,00;0,00;1,71
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism;0,00;0,00;0,20;0,00;0,22;0,36;0,92;1,14;1,36;0,45;0,54;1,67;1,29;0,52;0,00;1,97
Pentose Phosphate Pathway (Oxidative Branch);0,00;0,00;0,69;0,00;0,72;1,03;0,32;0,28;0,32;0,28;0,92;1,22;1,26;0,00;0,63;1,46
Urate Biosynthesis/Inosine 5'-phosphate Degradation;0,00;0,00;0,89;0,00;0,35;0,73;0,28;0,22;0,62;0,23;0,60;0,51;1,40;0,00;0,80;0,66
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);0,00;0,00;0,27;0,00;0,29;0,25;0,47;1,13;0,46;0,71;0,82;0,96;1,47;0,00;0,66;1,06
Nephrin family interactions;0,00;0,00;0,00;0,00;0,21;0,63;0,86;1,06;0,52;0,71;0,83;0,78;1,61;0,00;0,00;0,76
Signaling by NTRK3 (TRKC);0,00;0,00;0,27;0,00;0,29;0,25;0,47;0,70;0,84;0,38;0,82;0,96;2,01;0,00;0,66;1,71
Protein methylation;0,00;0,00;0,27;0,00;0,00;0,25;0,84;0,37;0,46;0,00;0,00;0,96;2,01;0,00;0,66;1,71
Cilium Assembly;0,00;0,00;0,53;0,00;0,91;0,29;0,00;0,77;0,00;0,00;0,44;1,86;2,12;0,00;0,00;0,69
Apoptotic execution phase;0,00;0,50;0,00;0,00;0,00;0,48;1,03;0,76;0,76;0,79;0,50;1,96;2,10;0,00;0,56;0,64
Sulfur amino acid metabolism;0,00;0,00;1,04;0,00;0,00;0,95;0,48;0,37;0,48;1,01;0,77;1,87;1,49;0,00;0,45;0,00
Nucleotide catabolism;0,00;0,00;0,82;0,00;0,00;0,38;0,30;0,39;0,52;0,66;0,28;1,99;1,65;0,00;0,70;0,53
IL-22 Signaling;0,00;0,00;1,04;0,00;0,59;0,00;0,48;0,00;0,24;0,00;0,77;1,41;1,09;0,49;0,45;0,34
Cell Cycle Regulation by BTG Family Proteins;0,00;0,62;0,61;0,00;0,00;0,00;1,08;0,57;0,30;0,00;0,28;1,51;1,26;0,00;0,00;0,00
Processing of Capped Intronless Pre-mRNA;0,00;0,72;0,85;0,00;0,00;0,41;0,00;0,00;0,56;0,00;0,00;1,67;1,01;0,00;0,73;0,00
Cleavage and Polyadenylation of Pre-mRNA;0,00;1,05;0,35;0,00;0,00;0,80;0,00;0,00;0,69;0,00;0,00;1,50;1,03;0,00;0,30;0,24
L-cysteine Degradation III;0,00;0,00;0,89;0,00;0,00;0,54;0,49;0,44;1,39;0,45;0,48;0,97;1,00;0,00;0,83;0,00
Granzyme B Signaling;0,00;0,00;0,00;0,00;0,00;0,28;0,51;0,41;0,92;0,42;0,21;1,55;0,72;0,00;0,24;0,00
DNA Double-Strand Break Repair by Non-Homologous End Joining;0,00;0,00;0,00;0,00;0,00;0,73;0,62;0,52;0,62;0,23;0,60;0,87;1,40;0,00;0,00;0,00
TCA Cycle II (Eukaryotic);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,69;0,00;0,71;0,00;1,12;1,61;0,00;0,00;0,00
2-ketoglutarate Dehydrogenase Complex;0,00;0,00;0,00;0,00;0,00;0,43;0,39;0,35;0,00;0,35;0,38;0,73;1,59;0,00;0,72;0,00
Purine Nucleotides De Novo Biosynthesis II;0,00;0,00;0,40;0,00;0,43;0,47;0,00;0,33;0,00;0,74;0,39;0,78;1,98;0,00;0,36;0,29
Signaling by Leptin;0,00;0,00;1,07;0,00;0,43;0,47;2,19;0,73;0,85;0,34;2,14;0,78;1,33;1,89;0,97;0,29
Basal Cell Carcinoma Signaling;1,24;0,39;0,00;0,56;0,24;0,81;0,80;1,18;1,30;0,56;3,00;1,11;0,63;1,54;0,51;0,52
Heparan Sulfate Biosynthesis (Late Stages);1,18;0,00;0,00;0,00;0,00;0,54;0,90;0,59;0,69;0,34;1,31;0,65;0,00;1,35;0,60;0,82
Heparan Sulfate Biosynthesis;1,14;0,00;0,00;0,00;0,00;0,76;0,90;0,76;0,69;0,47;1,56;0,89;0,00;1,82;0,75;0,68
Phase I - Functionalization of compounds;0,00;0,00;0,00;0,00;0,62;0,86;1,43;1,18;0,96;1,02;2,51;0,94;0,46;2,21;0,37;0,96
Airway Pathology in Chronic Obstructive Pulmonary Disease;0,00;0,68;0,00;0,00;0,45;0,86;1,11;1,49;0,91;1,32;1,48;0,36;0,43;1,91;0,00;0,33
GPVI-mediated activation cascade;0,00;0,00;0,00;0,00;0,77;0,76;0,61;0,69;0,90;1,02;1,21;0,81;0,63;1,73;0,00;0,00
Chondroitin and Dermatan Biosynthesis;0,00;0,00;0,62;0,00;0,00;0,30;0,80;1,42;0,27;1,43;0,78;0,46;1,03;1,03;0,57;0,49
Chondroitin Sulfate Biosynthesis (Late Stages);0,00;0,00;0,37;0,00;0,00;0,45;0,99;1,26;0,50;0,75;1,56;0,77;0,64;1,27;0,54;0,94
Chondroitin Sulfate Biosynthesis;0,00;0,00;0,53;0,00;0,00;0,67;0,94;1,43;0,49;0,92;1,80;1,02;0,69;1,78;0,69;0,73
Dermatan Sulfate Biosynthesis;0,00;0,00;0,50;0,00;0,00;0,85;1,13;1,64;0,86;1,38;1,68;0,92;0,61;1,73;0,65;0,69
Nucleosome assembly;0,00;0,52;0,42;0,71;1,31;0,81;1,51;1,49;1,51;1,54;0,39;0,75;1,07;0,00;0,33;0,71
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency;0,00;0,55;0,47;0,00;0,93;0,92;2,13;1,34;2,12;1,05;0,95;0,69;0,38;0,00;0,37;0,00
Activation of kainate receptors upon glutamate binding;0,00;0,71;0,00;0,00;1,49;0,38;0,83;0,39;1,19;0,66;0,50;0,87;0,65;0,00;0,34;0,53
Dermatan Sulfate Degradation (Metazoa);0,00;0,00;0,00;0,00;1,52;0,56;0,47;1,13;1,33;0,71;0,00;1,93;1,01;0,00;0,23;0,00
Chondroitin Sulfate Degradation (Metazoa);0,00;0,00;0,00;0,00;1,59;0,61;0,51;0,77;1,43;1,25;0,21;1,07;0,72;0,00;0,24;0,00
Coagulation System;0,00;0,00;0,33;0,00;1,27;0,76;0,61;1,35;1,26;1,38;0,58;0,38;0,42;0,96;0,57;0,00
Nucleotide salvage;0,00;0,00;0,21;0,00;1,28;1,16;0,99;1,72;0,99;1,25;0,96;0,94;0,66;0,54;0,53;0,41
